# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 7000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O  I-IV, C  I-IV, N  I-V, Si I-IV, Mg I-IV, S  I-IV, Ne I-IV, Ar I-IV
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: no restrictions
# Transition types included: nebular
# Transitions from auto-ionizing levels: included
# Comment code: Em -> observed in emission
# REFERENCE PAPER: https://ui.adsabs.harvard.edu/abs/2004MNRAS.355..229E/abstract

wl_air	   , dlamb  , spc     , tt, configuration  , term   , J_i-J_k           , -lg(gf) , tpf, level_energy(cm-1)   , ref    ,  name, comment
5200.2574  , 2.4e-03, [N I]   , M1, 2s2.2p3-2s2.2p3, 4So-2Do,     3/2 - 5/2     , -13.6265,  15,      0.00 -  19224.46, ASD    ,      ,
5200.2574  , 2.4e-03, [N I]   , E2, 2s2.2p3-2s2.2p3, 4So-2Do,     3/2 - 5/2     , -12.7945,  15,      0.00 -  19224.46, ASD    ,      ,
5411.52    , 3.2e-02,  He II  , E1,      4*-7*     ,   4-7  , 1/2-7/2 - 1/2-13/2,   0.3214,  28, 411477.95 - 429951.92, 007    ,      ,
5575.1750  , 2.0e-03, [Si I]  , M2, 3s2.3p2-3s.3p3 ,  1S-5So,       0 - 2       , -18.2966,  19,  15394.36 -  33326.04, ASD    ,      ,
5577.3387  , 2.8e-03, [O I]   , E2, 2s2.2p4-2s2.2p4,  1D-1S ,       2 - 0       ,  -8.2307,  15,  15867.86 -  33792.58, ASD    ,      ,
5752.077   , 1.9e-02,  He II  , E1,      5*-50*    ,   5-50 , 1/2-9/2 - 1/2-99/2,  -2.4228,  28, 421353.16 - 438733.32, 007    ,      ,
5754.474   , 1.9e-02,  He II  , E1,      5*-49*    ,   5-49 , 1/2-9/2 - 1/2-97/2,  -2.3959,  28, 421353.16 - 438726.08, 007    ,      ,
5754.64    , 4.7e-02, [N II]  , E2, 2s2.2p2-2s2.2p2,  1D-1S ,       2 - 0       ,  -8.2485,  12,  15316.19 -  32688.64, 030    ,      ,
5757.024   , 1.9e-02,  He II  , E1,      5*-48*    ,   5-48 , 1/2-9/2 - 1/2-95/2,  -2.3685,  28, 421353.16 - 438718.39, 007    ,      ,
5759.742   , 1.9e-02,  He II  , E1,      5*-47*    ,   5-47 , 1/2-9/2 - 1/2-93/2,  -2.3405,  28, 421353.16 - 438710.20, 007    ,      ,
5762.641   , 1.9e-02,  He II  , E1,      5*-46*    ,   5-46 , 1/2-9/2 - 1/2-91/2,  -2.3118,  28, 421353.16 - 438701.46, 007    ,      ,
5765.739   , 1.9e-02,  He II  , E1,      5*-45*    ,   5-45 , 1/2-9/2 - 1/2-89/2,  -2.2825,  28, 421353.16 - 438692.14, 007    ,      ,
5769.054   , 1.9e-02,  He II  , E1,      5*-44*    ,   5-44 , 1/2-9/2 - 1/2-87/2,  -2.2525,  28, 421353.16 - 438682.18, 007    ,      ,
5772.607   , 1.9e-02,  He II  , E1,      5*-43*    ,   5-43 , 1/2-9/2 - 1/2-85/2,  -2.2218,  28, 421353.16 - 438671.51, 007    ,      ,
5776.422   , 1.9e-02,  He II  , E1,      5*-42*    ,   5-42 , 1/2-9/2 - 1/2-83/2,  -2.1903,  28, 421353.16 - 438660.08, 007    ,      ,
5780.525   , 1.9e-02,  He II  , E1,      5*-41*    ,   5-41 , 1/2-9/2 - 1/2-81/2,  -2.1580,  28, 421353.16 - 438647.79, 007    ,      ,
5784.947   , 1.9e-02,  He II  , E1,      5*-40*    ,   5-40 , 1/2-9/2 - 1/2-79/2,  -2.1249,  28, 421353.16 - 438634.57, 007    ,      ,
5789.720   , 1.9e-02,  He II  , E1,      5*-39*    ,   5-39 , 1/2-9/2 - 1/2-77/2,  -2.0908,  28, 421353.16 - 438620.33, 007    ,      ,
5794.884   , 1.9e-02,  He II  , E1,      5*-38*    ,   5-38 , 1/2-9/2 - 1/2-75/2,  -2.0559,  28, 421353.16 - 438604.94, 007    ,      ,
5800.482   , 1.9e-02,  He II  , E1,      5*-37*    ,   5-37 , 1/2-9/2 - 1/2-73/2,  -2.0199,  28, 421353.16 - 438588.29, 007    ,      ,
